id,date,picSrc,title,link,Subtitle
1,2020.01.24,https://img2.chinadaily.com.cn/images/202001/24/5e2a0374a3101282064da644.jpeg,Wuhan sealed to contain virus; isolated cases seen elsewhere,https://www.chinadaily.com.cn/a/202001/24/WS5e2a0374a310128217273141.html,"Fuhe Toll Station on the Daihuang Expressway in northern Wuhan, Hubei province, is closed, as the city has been put into lockdown because of the ongoing pneumonia outbreak."
2,1/25/20,https://img2.chinadaily.com.cn/images/202001/25/5e2b9c16a3101282064dbe18.jpeg,"China steps up mask, food supply for Wuhan",https://www.chinadaily.com.cn/a/202001/25/WS5e2b8102a3101282172732c0.html,"Peng Zhiyong (C), head of the department of critical care medicine of Zhongnan Hospital, performs diagnosis on a patient with his colleagues in Zhongnan Hospital of Wuhan University in Wuhan, Central China's Hubei province, Jan 24, 2020."
3,1/26/20,https://img2.chinadaily.com.cn/images/202001/26/5e2d2b8da3101282064de2c9.jpeg,Multiple countries take measures to contain novel coronavirus,https://www.chinadaily.com.cn/a/202001/26/WS5e2d2b8da3101282172734d6.html,"BEIJING - Multiple countries have rolled out measures to curb the spread of the novel coronavirus that caused an outbreak in Wuhan, a city in Central China."
4,1/27/20,https://img2.chinadaily.com.cn/images/202001/27/5e2eaea2a3101282064dfe99.jpeg,German expert for coronavirus brings virus inhibitors to China: CMG,https://www.chinadaily.com.cn/a/202001/27/WS5e2eaea3a310128217273648.html,"Rolf Hilgenfeld, a German coronavirus research expert and professor at the Lubeck University, brought two inhibitors developed for SARS-CoV to China to test their effects on the 2019 novel coronavirus (2019-nCoV), according to China Media Group (CMG)"
5,1/28/20,https://img2.chinadaily.com.cn/images/202001/28/5e2fcad2a3101282064e0f7d.jpeg,"Confirmed coronavirus cases rise to 4,515 on Chinese mainland",https://www.chinadaily.com.cn/a/202001/28/WS5e2fcad2a310128217273743.html,Workers catch a giant salamander which is still alive outside the Huanan Seafood Market in Wuhan city
6,1/29/20,https://img2.chinadaily.com.cn/images/202001/29/5e30e93fa3101282064e23d9.jpeg,China's strength in anti-virus battle comes from the people,https://www.chinadaily.com.cn/a/202001/29/WS5e30e93fa3101282172738a6.html,"Medical team members take the train to Hubei Province in Hefei, east China's Anhui Province, Jan. 27, 2020."
7,1/30/20,https://img2.chinadaily.com.cn/images/202001/30/5e327ac9a3101282064e5372.jpeg,US companies pitch in to fight coronavirus,https://www.chinadaily.com.cn/a/202001/30/WS5e327ac9a310128217273b56.html,"Medical materials are seen at the Wuhan Tianhe International Airport in Wuhan, Central China's Hubei province"
8,1/31/20,https://img2.chinadaily.com.cn/images/202001/31/5e33d38da3101282064e7912.jpeg,"China's fight against coronavirus buys world time, says Mexican expert",https://www.chinadaily.com.cn/a/202001/31/WS5e33d38da310128217273e01.html,"A medical employee works at the department of infectious diseases in Wuhan Union Hospital, to combat the novel coronavirus (2019-nCoV) pneumonia, in Wuhan, Central China's Hubei province"
9,2/1/20,https://img2.chinadaily.com.cn/images/202001/31/5e336646a3101282064e6570.jpeg,WHO chief praises containment efforts,https://www.chinadaily.com.cn/a/202001/31/WS5e33657fa310128217273c53.html,"Director-General of the World Health Organization (WHO) Tedros Adhanom Ghebreyesus attends a news conference after a meeting of the Emergency Committee on the novel coronavirus (2019-nCoV) in Geneva, Switzerland"
10,2/2/20,https://img2.chinadaily.com.cn/images/202002/02/5e366a81a3101282064ec5a6.jpeg,Canada won't declare national emergency over coronavirus,https://www.chinadaily.com.cn/a/202002/02/WS5e365f03a31012821727429b.html,"Canada's Minister of Health Patty Hajdu speaks during Question Period in the House of Commons on Parliament Hill in Ottawa, Ontario, Canada"
11,2/3/20,https://img2.chinadaily.com.cn/images/202002/03/5e37865ba3101282064ef68a.jpeg,Medical necessity or irrational fear,https://www.chinadaily.com.cn/a/202002/03/WS5e37865ba310128217274570.html,"A medical worker takes a passenger's body temperature at Hankou Railway Station in Wuhan, capital of central China's Hubei Province"
12,2/4/20,https://img2.chinadaily.com.cn/images/202002/04/5e38e343a3101282064f4773.jpeg,WHO chief says widespread travel bans not needed to beat virus,https://www.chinadaily.com.cn/a/202002/04/WS5e38858ea3101282172748a9.html,"Director-General of the World Health Organization Tedros Adhanom Ghebreyesus speaks during a news conference after a meeting of the Emergency Committee on the novel coronavirus (2019-nCoV) in Geneva, Switzerland"
13,2/5/20,https://img2.chinadaily.com.cn/images/202002/05/5e3a1672a3101282064f8d7e.jpeg,Ningbo respiratory expert finds persistence pays off,https://www.chinadaily.com.cn/a/202002/05/WS5e3a161da310128217274f62.html,"Yu Wanjun (right) discusses the cases of coronavirus patients with his colleagues at Yinzhou People's Hospital in Ningbo, Zhejiang province"
14,2/6/20,https://img2.chinadaily.com.cn/images/202002/10/5e40b5d6a31012820650b96a.jpeg,Diplomat criticizes US evacuation,https://www.chinadaily.com.cn/a/202002/06/WS5e3baa5da3101282172757a2.html,"Huang Ping (center), China's consul general in New York. "
15,2/7/20,https://img2.chinadaily.com.cn/images/202002/07/5e3d4f66a310128206505132.jpeg,Hainan offers daily updates on 2019-nCoV in six languages,https://www.chinadaily.com.cn/a/202002/07/WS5e3d4f66a310128217275e4a.html,"A passenger gets his body temperature tested at the Sanya Phoenix International Airport in Sanya, South China's Hainan province"
16,2/8/20,https://img2.chinadaily.com.cn/images/202002/08/5e3e7087a310128206506b4b.jpeg,WHO details protective measures against novel coronavirus,https://www.chinadaily.com.cn/a/202002/08/WS5e3e7087a310128217275fad.html,"The World Health Organization (WHO) has published an article on the basic information, transmission mechanism and protection measures relating to the novel coronavirus in a Q&A format, amid global efforts to tackle the outbreak."
